scorer,,,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan,Razhan
bodyparts,,,Tail,Tail,Right Eye,Right Eye,Left Eye,Left Eye,Nostrils,Nostrils,Beak,Beak,Head,Head,Right Flipper,Right Flipper,Left Flipper,Left Flipper,Right Hind Flipper,Right Hind Flipper,Left Hind Flipper,Left Hind Flipper,Scute,Scute,Shell,Shell,Neck,Neck
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,turtle24,img020.png,,,,,,,,,,,754.1084876701258,667.4296050175749,1127.3342433201872,1035.960697074553,625.0052388603561,681.5135957968226,,,1791.6291417413656,798.8801856238865,1099.1662617616919,653.3456142383282,1108.5555889478571,751.9335496930612,,
labeled-data,turtle24,img042.png,,,,,,,,,,,794.0131282113274,665.0822732210345,1171.9335474544712,986.6667293471878,700.1198563496766,697.9449183726122,,,1742.335174013999,768.3648722688501,1061.6089530170318,643.9562870521631,1186.0175382337188,726.1128999311074,,
labeled-data,turtle24,img095.png,1636.705243169642,712.0289091518598,,,,,,,,,,,1157.8495566752235,902.1627846717024,617.9632434707323,601.7043147144202,,,1540.46463951145,812.9641764031342,967.715681155381,611.0936419005852,1115.5975843374808,690.9029229829885,,
labeled-data,turtle24,img103.png,1613.2319252042294,721.4182363380248,,,,,,,,,,,1117.9449161340222,960.8460795852341,606.226584488026,625.1776326798329,,,1453.6133630394231,815.3115081996755,918.4217134280144,618.1356372902092,1132.0289069132698,695.5975865760709,,
labeled-data,turtle24,img126.png,1582.7166118491928,777.7541994550152,,,,,,,,,,,1124.9869115236459,967.8880749748578,535.806630591788,601.7043147144202,,,1319.815450636571,960.8460795852341,1002.9256581035002,606.3989783075028,1094.4715981686095,688.5555911864471,,
labeled-data,turtle24,img145.png,1549.853966697615,852.8688169443358,,,,,,,,,,,,,559.2799485572007,597.0096511213378,1554.5486302906977,766.0175404723088,1329.204777822736,1059.434015039967,948.9370267830509,632.2196280694568,965.3683493588397,744.8915543034375,,
labeled-data,turtle24,img189.png,1472.3920174117534,841.1321579616294,,,,,,,,,,,,,554.5852849641182,423.30709817728405,1547.5066349010738,766.0175404723088,1265.8268193161218,1050.044687853802,897.2957272591431,557.1050105801362,965.3683493588397,650.9982824417868,,
labeled-data,turtle24,img231.png,1486.476008191001,824.7008353858405,,,,,,,,,,,,,477.12333567825635,420.95976638074274,1575.674616459569,747.2388860999788,1190.7122018268014,991.3613929402704,906.6850544453081,528.937029021641,986.4943355277112,632.2196280694568,,
